# epoch value error jitter offset 
57972.642391 6329.269751  5.078183 0 0 
57989.571677 6315.421674  8.617536 0 0 
57991.553196 6287.264455 10.171814 0 0 
57991.656885 6322.428626 10.558850 0 0 
57992.564895 6310.579965  3.571107 0 0 
57992.647092 6302.015788  3.272587 0 0 
57992.737182 6300.227528  5.189513 0 0 
57993.569005 6286.485544  3.195291 0 0 
57993.649707 6282.109043 11.802830 0 0 
57994.540226 6267.083265  2.759053 0 0 
57994.614332 6295.611280 21.767566 0 0 
57994.726301 6269.464603  3.692058 0 0 
57995.521310 6266.378608  4.845356 0 0 
57995.613168 6266.424349  3.731734 0 0 
57996.519648 6275.590430 12.349865 0 0 
57996.586905 6280.448833  7.970623 0 0 
57996.696770 6265.555443  7.525772 0 0 
57997.518889 6288.544193 21.024961 0 0 
57999.514325 6334.843694  3.972518 0 0 
57999.683151 6330.004681  3.847016 0 0 
58000.517294 6329.231934  4.316025 0 0 
58000.587327 6325.599202  4.420064 0 0 
58000.661400 6328.959871  5.405641 0 0 
58001.483841 6340.207618  3.149134 0 0 
58001.659262 6334.135926  3.492940 0 0 
58011.441099 6293.807920  4.722063 0 0 
58011.463972 6282.342655  4.541254 0 0 
58011.492837 6278.882573  4.253364 0 0 
58011.514782 6291.787841  4.461711 0 0 
58011.537045 6287.232393  4.171360 0 0 
58011.559660 6293.917695  3.214904 0 0 
58011.588087 6293.907954  4.718246 0 0 
58011.611718 6286.767326  3.510125 0 0 
58011.634613 6281.229862  4.152515 0 0 
58019.530387 6302.663320  8.624151 0 0 
58019.576096 6296.387131  9.522312 0 0 
58021.485174 6276.129741  6.553157 0 0 
58021.550035 6289.270279  9.325724 0 0 
58022.507855 6264.616821  4.275063 0 0 
58022.613117 6266.392504  4.775685 0 0 
58025.440973 6289.476217  2.396308 0 0 
58025.604040 6287.389186  2.881099 0 0 
58026.439462 6286.149481  5.302273 0 0 
58026.524119 6298.699135  5.668558 0 0 
58820.385845 6291.489772 11.208488 0 0 
59416.667143 6321.175228  4.383333 0 0 
59428.721191 6279.746940  3.857249 0 0 
59442.689993 6284.324718  5.232104 0 0 
59459.571626 6307.266755  3.972523 0 0 
59473.565133 6301.046186  7.004977 0 0 
57984.680256 6909.200000  3.600000 1 1 
57984.751983 6908.100000  3.400000 1 1 
57985.674925 6917.700000  3.200000 1 1 
57985.734244 6926.100000  3.800000 1 1 
57985.785126 6918.600000  3.200000 1 1 
57985.813252 6916.700000  3.800000 1 1 
57986.682822 6931.100000  3.800000 1 1 
57986.754654 6923.300000  3.200000 1 1 
57986.778833 6921.800000  3.600000 1 1 
57986.826543 6917.500000  3.800000 1 1 
57987.709214 6920.500000  3.200000 1 1 
57987.734608 6913.100000  3.200000 1 1 
57987.781925 6914.500000  2.800000 1 1 
57987.806336 6923.400000  2.800000 1 1 
57990.664452 6888.200000  5.000000 1 1 
57990.695714 6888.200000  4.400000 1 1 
57990.732741 6885.500000  4.200000 1 1 
57990.800776 6883.500000  4.200000 1 1 
57991.701381 6893.900000  3.600000 1 1 
57991.772391 6889.800000  3.000000 1 1 
57992.672127 6892.600000  3.000000 1 1 
57992.697220 6892.000000  3.000000 1 1 
57992.743541 6896.700000  4.000000 1 1 
57992.771308 6893.900000  3.800000 1 1 
57992.826622 6886.100000  4.000000 1 1 
