# time Tc_folded Tref_folded model model_err 
59329.481866 0.000000 0.000000    -0.117132     1.773611 
59329.519476 0.000000 0.000000    -0.151721     1.773714 
59329.557086 0.000000 0.000000    -0.229747     1.773460 
59329.594696 0.000000 0.000000    -0.361332     1.772626 
59329.632306 0.000000 0.000000    -0.559478     1.770576 
59329.669917 0.000000 0.000000    -0.837319     1.766046 
59329.707527 0.000000 0.000000    -1.204277     1.756867 
59329.745137 0.000000 0.000000    -1.661568     1.739730 
59329.782747 0.000000 0.000000    -2.197970     1.710114 
59329.820357 0.000000 0.000000    -2.787081     1.662474 
59329.857967 0.000000 0.000000    -3.387362     1.590692 
59329.895578 0.000000 0.000000    -3.945769     1.488778 
59329.933188 0.000000 0.000000    -4.404920     1.352122 
59329.970798 0.000000 0.000000    -4.712598     1.181474 
59330.008408 0.000000 0.000000    -4.831465     1.001875 
59330.046018 0.000000 0.000000    -4.746502     0.923596 
59330.083628 0.000000 0.000000    -4.468122     1.040856 
59330.121238 0.000000 0.000000    -4.030072     1.223773 
59330.158849 0.000000 0.000000    -3.482706     1.387209 
59330.196459 0.000000 0.000000    -2.883479     1.515493 
59330.234069 0.000000 0.000000    -2.287140     1.609875 
59330.271679 0.000000 0.000000    -1.737899     1.675468 
59330.309289 0.000000 0.000000    -1.264988     1.718362 
59330.346899 0.000000 0.000000    -0.881907     1.744575 
59330.384510 0.000000 0.000000    -0.588644     1.759390 
59330.422120 0.000000 0.000000    -0.375602     1.766916 
59330.459730 0.000000 0.000000    -0.227909     1.769867 
59330.497340 0.000000 0.000000    -0.129120     1.769506 
59330.534950 0.000000 0.000000    -0.063803     1.765655 
59330.572560 0.000000 0.000000    -0.018973     1.756683 
59330.610170 0.000000 0.000000     0.015363     1.739488 
59330.647781 0.000000 0.000000     0.046214     1.709576 
59330.685391 0.000000 0.000000     0.077834     1.661336 
59330.723001 0.000000 0.000000     0.112034     1.588544 
59330.760611 0.000000 0.000000     0.148512     1.485107 
59330.798221 0.000000 0.000000     0.185271     1.346389 
59330.835831 0.000000 0.000000     0.219179     1.173508 
59330.873442 0.000000 0.000000     0.246665     0.994056 
59330.911052 0.000000 0.000000     0.264508     0.925258 
59330.948662 0.000000 0.000000     0.270535     1.051656 
59330.986272 0.000000 0.000000     0.264098     1.235901 
59331.023882 0.000000 0.000000     0.246212     1.398044 
59331.061492 0.000000 0.000000     0.219310     1.524366 
59331.099102 0.000000 0.000000     0.186734     1.616679 
59331.136713 0.000000 0.000000     0.152087     1.680354 
59331.174323 0.000000 0.000000     0.118653     1.721641 
59331.211933 0.000000 0.000000     0.089019     1.746648 
59331.249543 0.000000 0.000000     0.064999     1.760708 
59331.287153 0.000000 0.000000     0.047859     1.768010 
59331.324763 0.000000 0.000000     0.038836     1.771499 
59331.362374 0.000000 0.000000     0.039897     1.773026 
59331.399984 0.000000 0.000000     0.054683     1.773629 
59331.437594 0.000000 0.000000     0.089562     1.773811 
59331.475204 0.000000 0.000000     0.154652     1.773750 
59331.512814 0.000000 0.000000     0.264531     1.773388 
59331.550424 0.000000 0.000000     0.438211     1.772407 
59331.588035 0.000000 0.000000     0.697821     1.770092 
59331.625645 0.000000 0.000000     1.065485     1.765108 
59331.663255 0.000000 0.000000     1.558124     1.755261 
59331.700865 0.000000 0.000000     2.180527     1.737335 
59331.738475 0.000000 0.000000     2.917835     1.707154 
59331.776085 0.000000 0.000000     3.729430     1.659931 
59331.813695 0.000000 0.000000     4.546712     1.590948 
59331.851306 0.000000 0.000000     5.277023     1.496577 
59331.888916 0.000000 0.000000     5.814787     1.375816 
59331.926526 0.000000 0.000000     6.058994     1.233041 
59331.964136 0.000000 0.000000     5.933843     1.083557 
59332.001746 0.000000 0.000000     5.407670     0.961048 
59332.039356 0.000000 0.000000     4.504801     0.902910 
59332.076967 0.000000 0.000000     3.306301     0.896445 
59332.114577 0.000000 0.000000     1.938353     0.893762 
