# epoch value error jitter offset 
 9245.718207 -4.377300  0.003400 0 0 
 9246.752350 -4.366700  0.003300 0 0 
 9247.805313 -4.368800  0.002300 0 0 
 9258.725156 -4.370300  0.003100 0 0 
 9276.706138 -4.384500  0.002400 0 0 
 9288.631172 -4.359000  0.001800 0 0 
 9289.629132 -4.354700  0.001900 0 0 
 9297.532939 -4.370800  0.003700 0 0 
 9298.670517 -4.356000  0.002900 0 0 
 9304.550139 -4.358300  0.006700 0 0 
 9305.556355 -4.381300  0.004300 0 0 
 9305.566563 -4.372600  0.007300 0 0 
 9307.573064 -4.344400  0.001700 0 0 
 9315.564613 -4.361100  0.002000 0 0 
 9322.420661 -4.368500  0.003000 0 0 
 9322.716091 -4.336400  0.009800 0 0 
 9323.419205 -4.366800  0.004200 0 0 
 9323.547395 -4.371600  0.004600 0 0 
 9324.383559 -4.354800  0.003900 0 0 
 9324.433129 -4.366200  0.005000 0 0 
 9324.477329 -4.342000  0.005000 0 0 
 9324.523856 -4.360500  0.005300 0 0 
 9324.568530 -4.354400  0.005300 0 0 
 9324.612869 -4.351900  0.003400 0 0 
 9324.656351 -4.346400  0.002900 0 0 
 9324.702970 -4.329000  0.005400 0 0 
 9325.401082 -4.350600  0.002400 0 0 
 9325.534550 -4.352300  0.002200 0 0 
 9326.367229 -4.354300  0.002200 0 0 
 9326.409554 -4.353500  0.002100 0 0 
 9326.451323 -4.353200  0.001800 0 0 
 9326.494851 -4.355200  0.002300 0 0 
 9326.538334 -4.356500  0.002100 0 0 
 9326.604118 -4.357500  0.002200 0 0 
 9326.648156 -4.361200  0.001900 0 0 
 9327.423579 -4.348400  0.001800 0 0 
 9327.551630 -4.344400  0.001800 0 0 
 9328.472683 -4.355100  0.005300 0 0 
 9328.653047 -4.355600  0.018100 0 0 
 9330.493542 -4.361400  0.002200 0 0 
 9330.635365 -4.357700  0.003300 0 0 
 9332.540518 -4.356900  0.001700 0 0 
 9332.668881 -4.347700  0.003300 0 0 
 9336.617630 -4.364600  0.003100 0 0 
 9338.437603 -4.329100  0.002000 0 0 
 9338.523259 -4.346400  0.003000 0 0 
 9342.470563 -4.342000  0.002900 0 0 
 9342.603520 -4.333200  0.005900 0 0 
 9343.482282 -4.346700  0.003600 0 0 
 9343.615771 -4.340700  0.007300 0 0 
 9344.521360 -4.335800  0.003000 0 0 
 9344.653945 -4.345900  0.005700 0 0 
 9345.428568 -4.348600  0.004000 0 0 
 9345.582345 -4.336900  0.003700 0 0 
 9346.408180 -4.340600  0.003300 0 0 
 9346.452101 -4.349400  0.002700 0 0 
 9346.521704 -4.348300  0.003100 0 0 
 9346.611421 -4.363800  0.006800 0 0 
 9346.642704 -4.345500  0.008700 0 0 
 9346.695849 -4.331000  0.011700 0 0 
 9359.406026 -4.368100  0.010800 0 0 
 9360.456642 -4.347200  0.002600 0 0 
 9360.573868 -4.325500  0.003800 0 0 
 9361.395992 -4.331600  0.002200 0 0 
 9362.456815 -4.345700  0.004500 0 0 
 9362.573590 -4.340100  0.002500 0 0 
 9363.421799 -4.354900  0.001900 0 0 
 9363.561616 -4.358000  0.002800 0 0 
 9364.422301 -4.358000  0.002600 0 0 
 9364.558924 -4.353000  0.003800 0 0 
 9365.542760 -4.356000  0.003000 0 0 
 9366.457583 -4.374400  0.002400 0 0 
 9366.569983 -4.372300  0.003500 0 0 
 9367.458130 -4.373600  0.002100 0 0 
 9377.430364 -4.354700  0.002000 0 0 
 9379.403177 -4.365100  0.002300 0 0 
 9380.443810 -4.356400  0.004000 0 0 
 9388.459621 -4.376300  0.002000 0 0 
 9390.470081 -4.336400  0.002300 0 0 
 9413.461899 -4.348300  0.009400 0 0 
 9417.421868 -4.354300  0.001900 0 0 
 9418.443553 -4.370800  0.013400 0 0 
 9428.430099 -4.345000  0.005000 0 0 
 9430.414054 -4.338900  0.004000 0 0 
 9431.406120 -4.323000  0.009900 0 0 
 9443.379406 -4.365900  0.007400 0 0 
 9445.362727 -4.367800  0.003200 0 0 
 9446.378891 -4.361800  0.003700 0 0 
 9447.394049 -4.369600  0.004800 0 0 
 9448.381836 -4.362400  0.002700 0 0 
