# 1- 13  F13.8 d       JD        Julian date (JD-2450000)
#15- 21  F7.4  km/s    RV        Radial velocity
#23- 28  F6.4  km/s  e_RV        Error on the radial velocity
#30- 36  F7.4  ---     logRHK    Ca II H&K lines (log(R'_HK_))
#38- 43  F6.4  ---   e_logRHK    Error on Ca II H&K lines (log(R'_HK_))
#45- 51  F7.4  km/s    BIS       CCF Bisector
9380.44381032 -6.8579 0.0018 -4.3564 0.0040  0.0347
9388.45962108 -6.8762 0.0011 -4.3763 0.0020  0.0416
9390.47008063 -6.7849 0.0013 -4.3364 0.0023 -0.0165
9413.46189904 -6.8357 0.0038 -4.3483 0.0094  0.0475
9417.42186840 -6.8239 0.0010 -4.3543 0.0019  0.0229
9418.44355285 -6.8462 0.0042 -4.3708 0.0134  0.0252
9428.43009929 -6.8446 0.0021 -4.3450 0.0050  0.0409
9430.41405431 -6.8207 0.0018 -4.3389 0.0040  0.0136
9431.40611978 -6.8592 0.0036 -4.3230 0.0099  0.0317
9443.37940582 -6.8428 0.0027 -4.3659 0.0074  0.0440
9445.36272734 -6.7887 0.0015 -4.3678 0.0032 -0.0049
9446.37889092 -6.8744 0.0016 -4.3618 0.0037  0.0816
9447.39404862 -6.8444 0.0019 -4.3696 0.0048  0.0091
9448.38183570 -6.8347 0.0013 -4.3624 0.0027  0.0240
