# epoch value error jitter offset 
 9245.718207 -6828.900000  1.600000 0 0 
 9246.752350 -6823.000000  1.600000 0 0 
 9247.805313 -6874.500000  1.200000 0 0 
 9258.725156 -6832.700000  1.500000 0 0 
 9276.706138 -6804.400000  1.200000 0 0 
 9288.631172 -6827.900000  1.000000 0 0 
 9289.629132 -6817.300000  1.100000 0 0 
 9297.532939 -6825.200000  1.700000 0 0 
 9298.670517 -6808.300000  1.500000 0 0 
 9304.550139 -6835.200000  2.700000 0 0 
 9305.556355 -6833.600000  2.000000 0 0 
 9305.566563 -6832.500000  3.000000 0 0 
 9307.573064 -6814.100000  1.000000 0 0 
 9315.564613 -6840.400000  1.100000 0 0 
 9322.420661 -6842.800000  1.400000 0 0 
 9322.716091 -6820.800000  3.300000 0 0 
 9323.419205 -6804.600000  1.900000 0 0 
 9323.547395 -6812.300000  2.000000 0 0 
 9324.383559 -6829.400000  1.800000 0 0 
 9324.433129 -6830.400000  2.200000 0 0 
 9324.477329 -6831.900000  2.200000 0 0 
 9324.523856 -6830.000000  2.200000 0 0 
 9324.568530 -6831.000000  2.300000 0 0 
 9324.612869 -6831.200000  1.600000 0 0 
 9324.656351 -6831.000000  1.500000 0 0 
 9324.702970 -6829.200000  2.300000 0 0 
 9325.401082 -6816.500000  1.300000 0 0 
 9325.534550 -6817.700000  1.200000 0 0 
 9326.367229 -6869.600000  1.200000 0 0 
 9326.409554 -6872.200000  1.100000 0 0 
 9326.451323 -6871.800000  1.000000 0 0 
 9326.494851 -6873.000000  1.200000 0 0 
 9326.538334 -6871.600000  1.200000 0 0 
 9326.604118 -6871.700000  1.200000 0 0 
 9326.648156 -6871.700000  1.100000 0 0 
 9327.423579 -6855.900000  1.000000 0 0 
 9327.551630 -6847.600000  1.000000 0 0 
 9328.472683 -6822.900000  2.200000 0 0 
 9328.653047 -6833.300000  5.300000 0 0 
 9330.493542 -6867.900000  1.200000 0 0 
 9330.635365 -6866.900000  1.600000 0 0 
 9332.540518 -6819.300000  1.000000 0 0 
 9332.668881 -6830.000000  1.800000 0 0 
 9336.617630 -6840.600000  1.500000 0 0 
 9338.437603 -6847.600000  1.100000 0 0 
 9338.523259 -6853.700000  1.500000 0 0 
 9342.470563 -6839.200000  1.700000 0 0 
 9342.603520 -6831.800000  2.800000 0 0 
 9343.482282 -6834.100000  1.900000 0 0 
 9343.615771 -6838.600000  3.300000 0 0 
 9344.521360 -6880.200000  1.800000 0 0 
 9344.653945 -6873.100000  2.600000 0 0 
 9345.428568 -6857.000000  2.100000 0 0 
 9345.582345 -6858.600000  2.000000 0 0 
 9346.408180 -6823.600000  1.800000 0 0 
 9346.452101 -6825.600000  1.500000 0 0 
 9346.521704 -6824.300000  1.700000 0 0 
 9346.611421 -6822.400000  2.500000 0 0 
 9346.642704 -6830.100000  3.000000 0 0 
 9346.695849 -6833.100000  4.000000 0 0 
 9359.406026 -6841.200000  3.700000 0 0 
 9360.456642 -6814.200000  1.300000 0 0 
 9360.573868 -6816.800000  2.000000 0 0 
 9361.395992 -6853.400000  1.300000 0 0 
 9362.456815 -6870.000000  2.100000 0 0 
 9362.573590 -6859.700000  1.300000 0 0 
 9363.421799 -6838.800000  1.100000 0 0 
 9363.561616 -6838.900000  1.400000 0 0 
 9364.422301 -6822.200000  1.400000 0 0 
 9364.558924 -6819.200000  1.700000 0 0 
 9365.542760 -6859.300000  1.500000 0 0 
 9366.457583 -6841.800000  1.200000 0 0 
 9366.569983 -6831.400000  1.600000 0 0 
 9367.458130 -6831.100000  1.100000 0 0 
 9377.430364 -6835.200000  1.100000 0 0 
 9379.403177 -6864.600000  1.200000 0 0 
 9380.443810 -6857.900000  1.800000 0 0 
 9388.459621 -6876.200000  1.100000 0 0 
 9390.470081 -6784.900000  1.300000 0 0 
 9413.461899 -6835.700000  3.800000 0 0 
 9417.421868 -6823.900000  1.000000 0 0 
 9418.443553 -6846.200000  4.200000 0 0 
 9428.430099 -6844.600000  2.100000 0 0 
 9430.414054 -6820.700000  1.800000 0 0 
 9431.406120 -6859.200000  3.600000 0 0 
 9443.379406 -6842.800000  2.700000 0 0 
 9445.362727 -6788.700000  1.500000 0 0 
 9446.378891 -6874.400000  1.600000 0 0 
 9447.394049 -6844.400000  1.900000 0 0 
 9448.381836 -6834.700000  1.300000 0 0 
