 1986.421421 -11580.000000     5.000000 0 0 -1 
 2026.478923 -11573.000000     5.000000 0 0 -1 
 2028.532127 -11719.000000     5.000000 0 0 -1 
 2029.430919 -11629.000000     6.000000 0 0 -1 
 2051.412597 -11632.000000     5.000000 0 0 -1 
 2072.456650 -11720.000000    10.000000 0 0 -1 
 2099.378091 -11589.000000     9.000000 0 0 -1 
 2272.722443 -11665.000000     5.000000 0 0 -1 
 2296.505447 -11653.000000     5.000000 0 0 -1 
 2297.669280 -11596.000000     9.000000 0 0 -1 
 2298.609598 -11690.000000    10.000000 0 0 -1 
