#epoch value error jitter_flag offset_flag
  59333.151961       0.175      0.001      0   0
  59333.152667       0.174      0.001      0   0
  59333.153373       0.174      0.001      0   0
  59336.044295       0.175      0.001      0   0
  59336.045745       0.174      0.001      0   0
  59336.046451       0.175      0.001      0   0
  59337.054588       0.174      0.001      0   0
  59337.055294       0.173      0.001      0   0
  59337.055999       0.174      0.001      0   0
  59338.142666       0.174      0.001      0   0
  59338.143375       0.174      0.001      0   0
  59338.144784       0.174      0.001      0   0
  59339.164449       0.173      0.001      0   0
  59339.165155       0.174      0.001      0   0
  59339.166567       0.174      0.001      0   0
  59340.102238       0.174      0.001      0   0
  59340.103650       0.174      0.001      0   0
  59340.104356       0.174      0.001      0   0
  59341.060305       0.174      0.001      0   0
  59341.061717       0.174      0.001      0   0
  59341.062423       0.174      0.001      0   0
  59342.127214       0.173      0.001      0   0
  59342.128626       0.173      0.001      0   0
  59342.129333       0.173      0.001      0   0
  59343.096509       0.175      0.001      0   0
  59343.097921       0.173      0.001      0   0
  59343.098626       0.174      0.001      0   0
  59345.087496       0.174      0.001      0   0
  59345.088908       0.174      0.001      0   0
  59345.089615       0.174      0.001      0   0
  59347.165174       0.174      0.001      0   0
  59347.165880       0.175      0.001      0   0
  59347.166589       0.174      0.001      0   0
  59349.156919       0.174      0.001      0   0
  59349.159037       0.174      0.001      0   0
  59349.159743       0.172      0.001      0   0
  59351.095299       0.174      0.001      0   0
  59351.096005       0.174      0.001      0   0
  59351.097417       0.174      0.001      0   0
  59352.132027       0.174      0.001      0   0
  59352.134142       0.174      0.001      0   0
  59352.134848       0.174      0.001      0   0
  59358.106134       0.175      0.001      0   0
  59358.106840       0.175      0.001      0   0
  59358.108959       0.174      0.001      0   0
  59359.054266       0.174      0.001      0   0
  59359.056384       0.175      0.001      0   0
  59359.057090       0.174      0.001      0   0
  59360.145042       0.176      0.001      0   0
  59360.146454       0.175      0.001      0   0
  59360.147195       0.175      0.001      0   0
