  2454294.509154 -2086.500000     3.300000 0 0 -1 
  2454298.371154 -2232.000000     3.700000 0 0 -1 
  2454298.602954 -2118.000000     3.400000 0 0 -1 
  2454299.608254 -2393.100000     3.400000 0 0 -1 
  2454300.352554 -2370.200000     3.400000 0 0 -1 
  2454300.614354 -2212.300000     3.500000 0 0 -1 
  2454301.362054 -2143.700000     3.400000 0 0 -1 
  2454302.387154 -2446.400000     3.500000 0 0 -1 
  2454303.615554 -2155.500000     3.500000 0 0 -1 
  2454304.386054 -2470.500000     3.500000 0 0 -1 
  2454306.368354 -2420.600000     3.800000 0 0 -1 
  2454306.581054 -2463.800000     3.600000 0 0 -1 
  2454306.608454 -2464.400000     3.300000 0 0 -1 
  2454307.367654 -2159.300000     3.400000 0 0 -1 
  2454307.495354 -2105.700000     3.300000 0 0 -1 
  2454307.583354 -2079.500000     3.300000 0 0 -1 
  2454308.370554 -2326.400000     3.300000 0 0 -1 
  2454308.595454 -2446.500000     3.300000 0 0 -1 
  2454309.400754 -2285.900000     3.400000 0 0 -1 
  2454309.512854 -2218.100000     3.300000 0 0 -1 
  2454315.567954 -2475.900000     3.800000 0 0 -1 
  2454316.392954 -2113.900000     3.400000 0 0 -1 
  2454316.568054 -2079.400000     3.400000 0 0 -1 
  2454317.494854 -2430.600000     3.400000 0 0 -1 
  2454317.628854 -2465.200000     3.400000 0 0 -1 
  2454318.330154 -2221.600000     3.600000 0 0 -1 
  2454318.569854 -2109.700000     3.400000 0 0 -1 
  2454328.394254 -2366.200000     3.300000 0 0 -1 
  2454328.537254 -2425.500000     4.200000 0 0 -1 
  2454330.335254 -2193.600000     3.700000 0 0 -1 
  2454334.395254 -2067.500000     3.400000 0 0 -1 
  2454335.399054 -2462.500000     3.500000 0 0 -1 
  2454336.465854 -2080.400000     3.400000 0 0 -1 
