  2453693.690371     0.993390     0.001738 0 -1 -1 
  2453693.691491     1.001290     0.001752 0 -1 -1 
  2453693.692535     1.001106     0.001752 0 -1 -1 
  2453693.693572     1.002398     0.001754 0 -1 -1 
  2453693.694596     0.998527     0.001655 0 -1 -1 
  2453693.695693     0.998344     0.001747 0 -1 -1 
  2453693.696719     1.000000     0.001658 0 -1 -1 
  2453693.697754     0.993025     0.001738 0 -1 -1 
  2453693.698782     0.995497     0.001742 0 -1 -1 
  2453693.699810     0.993390     0.001555 0 -1 -1 
  2453693.700842     0.995039     0.001650 0 -1 -1 
  2453693.701894     0.993757     0.001648 0 -1 -1 
  2453693.702901     0.992933     0.001646 0 -1 -1 
  2453693.703930     0.990923     0.001643 0 -1 -1 
  2453693.704940     0.991106     0.001643 0 -1 -1 
  2453693.706176     0.987552     0.001637 0 -1 -1 
  2453693.707371     0.980844     0.001626 0 -1 -1 
  2453693.708400     0.981206     0.001627 0 -1 -1 
  2453693.709439     0.981025     0.001626 0 -1 -1 
  2453693.710491     0.976787     0.001619 0 -1 -1 
  2453693.711505     0.978859     0.001623 0 -1 -1 
  2453693.712533     0.973285     0.001614 0 -1 -1 
  2453693.713546     0.970957     0.001610 0 -1 -1 
  2453693.714592     0.969706     0.001608 0 -1 -1 
  2453693.715651     0.972926     0.001613 0 -1 -1 
  2453693.716707     0.974182     0.001705 0 -1 -1 
  2453693.717747     0.975708     0.001618 0 -1 -1 
  2453693.718780     0.974092     0.001705 0 -1 -1 
  2453693.719779     0.978588     0.001622 0 -1 -1 
  2453693.720823     0.976787     0.001619 0 -1 -1 
  2453693.723060     0.973106     0.001613 0 -1 -1 
  2453693.724084     0.978859     0.001533 0 -1 -1 
  2453693.725133     0.972031     0.001611 0 -1 -1 
  2453693.726389     0.974002     0.001615 0 -1 -1 
  2453693.727431     0.971404     0.001610 0 -1 -1 
  2453693.728464     0.973195     0.001524 0 -1 -1 
  2453693.729506     0.972120     0.001612 0 -1 -1 
  2453693.730548     0.974631     0.001526 0 -1 -1 
  2453693.731592     0.971762     0.001611 0 -1 -1 
  2453693.732636     0.972568     0.001612 0 -1 -1 
  2453693.733665     0.970242     0.001609 0 -1 -1 
  2453693.734695     0.966674     0.001603 0 -1 -1 
  2453693.735837     0.967832     0.001605 0 -1 -1 
  2453693.737098     0.974182     0.001615 0 -1 -1 
  2453693.738256     0.967297     0.001604 0 -1 -1 
  2453693.739296     0.975169     0.001617 0 -1 -1 
  2453693.740342     0.973375     0.001614 0 -1 -1 
  2453693.741373     0.977597     0.001621 0 -1 -1 
  2453693.742395     0.978859     0.001623 0 -1 -1 
  2453693.743422     0.974361     0.001615 0 -1 -1 
  2453693.744458     0.972658     0.001613 0 -1 -1 
  2453693.745492     0.975169     0.001617 0 -1 -1 
  2453693.746517     0.976877     0.001620 0 -1 -1 
  2453693.747540     0.970331     0.001609 0 -1 -1 
  2453693.748592     0.972568     0.001523 0 -1 -1 
  2453693.749634     0.981386     0.001537 0 -1 -1 
  2453693.750663     0.969527     0.001518 0 -1 -1 
