BJD - 2454833, Corrected Flux
3536.527658879, 1.007867050,
3536.548094208, 1.007778026,
3536.568529737, 1.007869071,
3536.588965166, 1.007824876,
3536.609400494, 1.007736351,
3536.629836022, 1.007728373,
3536.650271451, 1.007603711,
3536.670706778, 1.007580053,
3536.691142306, 1.007644145,
3536.711577733, 1.007629473,
3536.732013161, 1.007452507,
3536.752448588, 1.007028126,
3536.772884014, 1.007171544,
3536.793319441, 1.007395679,
3536.813754867, 1.007329516,
3536.834190293, 1.007432035,
3536.854625719, 1.007287667,
3536.875061145, 1.007363776,
3536.895496570, 1.007254055,
3536.936367421, 1.007560163,
3536.956802845, 1.007420491,
3536.977238170, 1.007378249,
3536.997673694, 1.007317206,
3537.018109118, 1.006869740,
3537.038544442, 1.006506253,
3537.058979966, 1.006681991,
3537.079415389, 1.006869173,
3537.099850713, 1.006843697,
3537.120286236, 1.006754068,
3537.140721658, 1.006662881,
3537.161157181, 1.006642858,
3537.181592503, 1.006547953,
3537.202027926, 1.006478845,
3537.222463448, 1.006296729,
3537.242898769, 1.006371442,
3537.263334191, 1.006311722,
3537.283769712, 1.006288867,
3537.304205133, 1.005861000,
3537.324640454, 1.005525302,
3537.345075975, 1.005997675,
3537.365511395, 1.005885974,
3537.385946715, 1.005955178,
3537.406382235, 1.005830259,
3537.426817655, 1.005762815,
3537.447252974, 1.005677287,
3537.467688493, 1.005524947,
3537.488123913, 1.005466133,
3537.508559231, 1.005450940,
3537.528994750, 1.005491650,
3537.549430169, 1.005400520,
3537.569865586, 1.005317114,
3537.590301004, 1.004971586,
3537.610736422, 1.005015392,
3537.631171840, 1.005460111,
3537.672042674, 1.005286630,
3537.692478091, 1.005248951,
3537.712913507, 1.005229507,
3537.733348924, 1.004980830,
3537.753784340, 1.004958201,
3537.774219756, 1.004799707,
3537.794655171, 1.004726467,
3537.815090487, 1.004654921,
3537.835526002, 1.004605894,
3537.855961417, 1.004429748,
3537.876396732, 1.003978681,
3537.937703175, 1.004225290,
3537.958138488, 1.004115472,
3537.978573902, 1.004110030,
3537.999009416, 1.003982589,
3538.019444729, 1.003880326,
3538.039880142, 1.003834714,
3538.060315654, 1.003618734,
3538.080750967, 1.003384482,
3538.101186379, 1.003627869,
3538.121621891, 1.003577675,
3538.142057303, 1.003315311,
3538.162492615, 1.002835032,
3538.182928126, 1.003312299,
3538.203363537, 1.003320929,
3538.223798848, 1.003229936,
3538.244234358, 1.003187125,
3538.264669769, 1.003022507,
3538.285105079, 1.002834923,
3538.305540589, 1.002754758,
3538.325975999, 1.002701423,
3538.346411308, 1.002709878,
3538.366846817, 1.002547136,
3538.407717635, 1.002406371,
3538.428153044, 1.001927795,
3538.448588452, 1.001903272,
3538.469023860, 1.002174337,
3538.489459268, 1.002145311,
3538.509894676, 1.001956293,
3538.530330083, 1.001937498,
3538.550765490, 1.001811128,
3538.571200897, 1.001624772,
3538.591636304, 1.001616141,
3538.612071710, 1.001576867,
3538.632507117, 1.001402100,
3538.652942423, 1.001359724,
3538.673377928, 1.001285741,
3538.693813334, 1.001165789,
3538.714248839, 1.000658561,
3538.734684144, 1.000816196,
3538.755119549, 1.000941096,
3538.775555054, 1.000866434,
3538.795990358, 1.000747525,
3538.816425762, 1.000886862,
3538.836861266, 1.000811864,
3538.857296570, 1.000664648,
3538.898167476, 1.000647892,
3538.918602779, 1.000610647,
3538.939038182, 1.000523327,
3538.959473684, 1.000445699,
3538.979909086, 1.000182955,
3539.000344388, 0.999729558,
3539.020779890, 0.999998488,
3539.041215292, 1.000040431,
3539.061650593, 1.000062113,
3539.082086094, 1.000059522,
3539.102521495, 0.999914805,
3539.122956795, 0.999788900,
3539.143392295, 0.999651295,
3539.163827695, 0.999703960,
3539.184262995, 0.999680518,
3539.204698495, 0.999546984,
3539.225133894, 0.999525477,
3539.245569293, 0.999423712,
3539.266004692, 0.998996322,
3539.286440091, 0.998748065,
3539.306875489, 0.999241734,
3539.327310887, 0.999209324,
3539.347746285, 0.999166616,
3539.368181583, 0.999190524,
3539.388617080, 0.999125196,
3539.409052477, 0.999067970,
3539.429487774, 0.998896150,
3539.449923271, 0.998903124,
3539.470358667, 0.998928827,
3539.490794164, 0.998735100,
3539.511229460, 0.998714403,
3539.531664855, 0.998656392,
3539.552100351, 0.998063186,
3539.572535646, 0.998164116,
3539.592971041, 0.998643314,
3539.633841830, 0.998463532,
3539.654277224, 0.998428318,
3539.674712719, 0.998437192,
3539.695148012, 0.998329459,
