# time flux flux_error jitter offset subset 
       14.397453  1.00056 0.00050 0 -1 -1 
       14.398842  1.00064 0.00050 0 -1 -1 
       14.400231  1.00029 0.00050 0 -1 -1 
       14.401620  0.99877 0.00050 0 -1 -1 
       14.403009  1.00020 0.00050 0 -1 -1 
       14.404397  1.00082 0.00050 0 -1 -1 
       14.405786  1.00011 0.00050 0 -1 -1 
       14.407175  1.00070 0.00050 0 -1 -1 
       14.408564  1.00015 0.00050 0 -1 -1 
       14.409953  0.99924 0.00050 0 -1 -1 
       14.411342  1.00013 0.00050 0 -1 -1 
       14.412731  1.00053 0.00050 0 -1 -1 
       14.414120  1.00088 0.00050 0 -1 -1 
       14.415509  1.00071 0.00050 0 -1 -1 
       14.416897  0.99988 0.00050 0 -1 -1 
       14.418286  1.00019 0.00050 0 -1 -1 
       14.419675  1.00006 0.00050 0 -1 -1 
       14.421064  1.00042 0.00050 0 -1 -1 
       14.422453  1.00017 0.00050 0 -1 -1 
       14.423842  0.99892 0.00050 0 -1 -1 
       14.425231  1.00019 0.00050 0 -1 -1 
       14.426620  1.00016 0.00050 0 -1 -1 
       14.428009  1.00044 0.00050 0 -1 -1 
       14.429397  1.00023 0.00050 0 -1 -1 
       14.430786  1.00014 0.00050 0 -1 -1 
       14.432175  1.00054 0.00050 0 -1 -1 
       14.433564  1.00045 0.00050 0 -1 -1 
       14.434953  0.99924 0.00050 0 -1 -1 
       14.436342  1.00021 0.00050 0 -1 -1 
       14.437731  1.00003 0.00050 0 -1 -1 
       14.439120  1.00024 0.00050 0 -1 -1 
       14.440509  1.00047 0.00050 0 -1 -1 
       14.441897  0.99915 0.00050 0 -1 -1 
       14.443286  0.99938 0.00050 0 -1 -1 
       14.444675  0.99984 0.00050 0 -1 -1 
       14.446064  1.00091 0.00050 0 -1 -1 
       14.447453  1.00045 0.00050 0 -1 -1 
       14.448842  0.99984 0.00050 0 -1 -1 
       14.450231  1.00025 0.00050 0 -1 -1 
       14.451620  1.00079 0.00050 0 -1 -1 
       14.453009  0.99968 0.00050 0 -1 -1 
       14.454397  0.99988 0.00050 0 -1 -1 
       14.455786  0.99968 0.00050 0 -1 -1 
       14.457175  1.00049 0.00050 0 -1 -1 
       14.458564  1.00069 0.00050 0 -1 -1 
       14.459953  0.99974 0.00050 0 -1 -1 
       14.461342  0.99945 0.00050 0 -1 -1 
       14.462731  0.99988 0.00050 0 -1 -1 
       14.464120  0.99953 0.00050 0 -1 -1 
       14.465509  1.00012 0.00050 0 -1 -1 
       14.466897  0.99928 0.00050 0 -1 -1 
       14.468286  1.00081 0.00050 0 -1 -1 
       14.469675  1.00062 0.00050 0 -1 -1 
       14.471064  0.99960 0.00050 0 -1 -1 
       14.472453  1.00101 0.00050 0 -1 -1 
       14.473842  0.99988 0.00050 0 -1 -1 
       14.475231  0.99996 0.00050 0 -1 -1 
       14.476620  1.00030 0.00050 0 -1 -1 
       14.478009  1.00033 0.00050 0 -1 -1 
       14.479397  1.00041 0.00050 0 -1 -1 
       14.480786  0.99999 0.00050 0 -1 -1 
       14.482175  0.99980 0.00050 0 -1 -1 
       14.483564  1.00088 0.00050 0 -1 -1 
       14.484953  0.99977 0.00050 0 -1 -1 
       14.486342  0.99950 0.00050 0 -1 -1 
       14.487731  0.99968 0.00050 0 -1 -1 
       14.489120  0.99974 0.00050 0 -1 -1 
       14.490509  0.99950 0.00050 0 -1 -1 
       14.491897  1.00036 0.00050 0 -1 -1 
       14.493286  0.99962 0.00050 0 -1 -1 
       14.494675  1.00033 0.00050 0 -1 -1 
       14.496064  1.00029 0.00050 0 -1 -1 
       14.497453  1.00031 0.00050 0 -1 -1 
       14.498842  0.99930 0.00050 0 -1 -1 
       14.500231  1.00012 0.00050 0 -1 -1 
       14.501620  0.99978 0.00050 0 -1 -1 
       14.503009  1.00007 0.00050 0 -1 -1 
       14.504397  1.00009 0.00050 0 -1 -1 
       14.505786  0.99999 0.00050 0 -1 -1 
       14.507175  1.00008 0.00050 0 -1 -1 
       14.508564  1.00101 0.00050 0 -1 -1 
       14.509953  1.00003 0.00050 0 -1 -1 
       14.511342  1.00156 0.00050 0 -1 -1 
       14.512731  0.99933 0.00050 0 -1 -1 
       14.514120  1.00001 0.00050 0 -1 -1 
       14.515509  0.99989 0.00050 0 -1 -1 
       14.516897  0.99985 0.00050 0 -1 -1 
       14.518286  1.00019 0.00050 0 -1 -1 
       14.519675  1.00005 0.00050 0 -1 -1 
       14.521064  1.00060 0.00050 0 -1 -1 
       14.522453  1.00025 0.00050 0 -1 -1 
       14.523842  1.00028 0.00050 0 -1 -1 
       14.525231  0.99971 0.00050 0 -1 -1 
       14.526620  1.00026 0.00050 0 -1 -1 
       14.528009  1.00032 0.00050 0 -1 -1 
       14.529397  0.99974 0.00050 0 -1 -1 
       14.530786  0.99970 0.00050 0 -1 -1 
       14.532175  0.99995 0.00050 0 -1 -1 
       14.533564  1.00019 0.00050 0 -1 -1 
       14.534953  0.99969 0.00050 0 -1 -1 
       14.536342  1.00013 0.00050 0 -1 -1 
       14.537731  1.00059 0.00050 0 -1 -1 
       14.539120  1.00128 0.00050 0 -1 -1 
       14.540509  0.99976 0.00050 0 -1 -1 
       14.541897  0.99970 0.00050 0 -1 -1 
       14.543286  1.00055 0.00050 0 -1 -1 
       14.544675  0.99987 0.00050 0 -1 -1 
       14.546064  1.00049 0.00050 0 -1 -1 
       14.547453  1.00055 0.00050 0 -1 -1 
       14.548842  1.00026 0.00050 0 -1 -1 
       14.550231  1.00023 0.00050 0 -1 -1 
       14.551620  1.00022 0.00050 0 -1 -1 
       14.553009  0.99899 0.00050 0 -1 -1 
       14.554397  0.99989 0.00050 0 -1 -1 
       14.555786  0.99980 0.00050 0 -1 -1 
       14.557175  0.99953 0.00050 0 -1 -1 
       14.558564  1.00038 0.00050 0 -1 -1 
       14.559953  1.00041 0.00050 0 -1 -1 
       14.561342  0.99945 0.00050 0 -1 -1 
       14.562731  0.99987 0.00050 0 -1 -1 
       14.564120  1.00070 0.00050 0 -1 -1 
       14.565509  0.99970 0.00050 0 -1 -1 
       14.566897  0.99887 0.00050 0 -1 -1 
       14.568286  0.99982 0.00050 0 -1 -1 
       14.569675  0.99982 0.00050 0 -1 -1 
       14.571064  1.00093 0.00050 0 -1 -1 
       14.572453  1.00017 0.00050 0 -1 -1 
       14.573842  1.00050 0.00050 0 -1 -1 
       14.575231  0.99950 0.00050 0 -1 -1 
       14.576620  0.99893 0.00050 0 -1 -1 
       14.578009  0.99772 0.00050 0 -1 -1 
       14.579397  0.99697 0.00050 0 -1 -1 
       14.580786  0.99612 0.00050 0 -1 -1 
