57738.581606     1.003528     0.000145 0 -1 -1 
57738.602039     1.003551     0.000145 0 -1 -1 
57738.622471     1.003602     0.000145 0 -1 -1 
57738.642903     1.003587     0.000145 0 -1 -1 
57738.663336     1.003542     0.000145 0 -1 -1 
57738.683768     1.003588     0.000145 0 -1 -1 
57738.704200     1.003580     0.000145 0 -1 -1 
57738.724633     1.003364     0.000145 0 -1 -1 
57738.745065     1.002852     0.000145 0 -1 -1 
57738.765497     1.002863     0.000145 0 -1 -1 
57738.785930     1.002950     0.000145 0 -1 -1 
57738.826794     1.004134     0.000145 0 -1 -1 
57738.847227     1.004093     0.000145 0 -1 -1 
57738.867659     1.004065     0.000145 0 -1 -1 
57738.888091     1.004096     0.000145 0 -1 -1 
57738.908523     1.004128     0.000145 0 -1 -1 
57738.928956     1.003945     0.000145 0 -1 -1 
57738.949388     1.003651     0.000145 0 -1 -1 
57738.969820     1.003524     0.000145 0 -1 -1 
57738.990253     1.003714     0.000145 0 -1 -1 
57739.010685     1.003473     0.000145 0 -1 -1 
57739.031117     1.003282     0.000145 0 -1 -1 
57739.071982     1.004474     0.000145 0 -1 -1 
57739.092414     1.004466     0.000145 0 -1 -1 
57739.112846     1.004461     0.000145 0 -1 -1 
57739.133279     1.004469     0.000145 0 -1 -1 
57739.153711     1.004329     0.000145 0 -1 -1 
57739.174143     1.004320     0.000145 0 -1 -1 
57739.194576     1.004164     0.000145 0 -1 -1 
57739.215008     1.004006     0.000145 0 -1 -1 
57739.235440     1.004337     0.000145 0 -1 -1 
57739.255873     1.004399     0.000145 0 -1 -1 
57739.276305     1.004421     0.000145 0 -1 -1 
57739.317170     1.004391     0.000145 0 -1 -1 
57739.337602     1.005037     0.000145 0 -1 -1 
57739.358034     1.004949     0.000145 0 -1 -1 
57739.378466     1.004842     0.000145 0 -1 -1 
57739.398899     1.004868     0.000145 0 -1 -1 
57739.419331     1.004933     0.000145 0 -1 -1 
57739.439763     1.004839     0.000145 0 -1 -1 
57739.460196     1.004773     0.000145 0 -1 -1 
57739.480628     1.004720     0.000145 0 -1 -1 
57739.501060     1.004797     0.000145 0 -1 -1 
57739.521492     1.005092     0.000145 0 -1 -1 
57739.562357     1.004994     0.000145 0 -1 -1 
57739.582789     1.004689     0.000145 0 -1 -1 
57739.603222     1.004988     0.000145 0 -1 -1 
57739.623654     1.005197     0.000145 0 -1 -1 
57739.644086     1.005234     0.000145 0 -1 -1 
57739.664518     1.005164     0.000145 0 -1 -1 
57739.684951     1.005152     0.000145 0 -1 -1 
57739.705383     1.005113     0.000145 0 -1 -1 
57739.725815     1.005172     0.000145 0 -1 -1 
57739.746248     1.005354     0.000145 0 -1 -1 
